longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.66928509171453,-34.6621454099542,94316,Led-150,0.8,0.969,1.0,1,0,100,100,25.0
-58.6692795717965,-34.66215307967358,94987,Led-240,0.8,0.982,1.0,1,0,100,100,25.0
-58.66927399779562,-34.66216095114456,95315,Led-240,0.8,0.958,1.0,1,0,100,100,25.0
-58.66927042416751,-34.66216695218172,96146,Led-150,0.8,0.987,1.0,0,0,100,100,25.0
-58.66926831358899,-34.662168742399594,96321,Led-240,0.8,0.989,1.0,0,0,100,100,25.0
-58.669264922371326,-34.66217377128201,96649,Led-240,0.8,0.99,1.0,0,0,100,100,25.0
-58.66926234253592,-34.66217674385205,96842,Led-150,0.8,0.989,1.0,0,0,100,100,25.0
-58.669262135119084,-34.662177696173735,97052,Led-150,0.8,0.988,1.0,0,0,100,100,25.0
-58.669266187675404,-34.662182306703826,97093,Led-240,0.8,0.987,1.0,0,0,100,100,25.0
-58.6692621432172,-34.66217978857595,97147,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.669259305625054,-34.662182152498715,97291,Led-240,0.8,0.991,1.0,0,0,100,100,25.0
-58.6692594391313,-34.66218209186296,97295,Led-240,0.8,0.989,1.0,0,0,100,100,25.0
-58.66925932453471,-34.66218252058259,97456,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66925937139589,-34.6621825726696,97500,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925944016932,-34.66218264826451,97503,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.669263149882184,-34.66218815098203,97560,Led-150,0.8,0.987,1.0,0,0,100,100,25.0
-58.66925823514399,-34.66218532252638,97611,Led-240,0.8,0.987,1.0,0,0,100,100,25.0
-58.66925657386277,-34.66218532851304,97668,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925599694694,-34.66212275793963,97715,Led-240,0.8,0.983,1.0,0,0,100,100,25.0
-58.6692566575933,-34.662185421241,97735,Led-240,0.8,0.999,1.0,1,0,100,100,25.0
-58.669256548149725,-34.66218530012337,97775,Led-240,0.8,1.0,1.0,1,0,100,100,25.0
-58.66926170350637,-34.66218922022906,97859,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.669256518892084,-34.662185267727224,97865,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925665596024,-34.66218541929643,97907,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.669261702672166,-34.66218922057931,98038,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66925651377917,-34.662185262029645,98048,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66918120789032,-34.662108066814746,98067,Led-240,0.8,0.981,1.0,0,0,100,100,25.0
-58.66925667110631,-34.66218543600286,98077,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925666492873,-34.66218542905753,98181,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66926036920702,-34.66218925911987,98212,Led-150,0.8,0.999,1.0,0,0,100,100,25.0
-58.66926889093397,-34.66218842734166,98274,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66926848676739,-34.662188364697,98375,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925654838042,-34.66218530041912,98381,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66926766821475,-34.66218827692284,98397,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66926366443787,-34.66218858514331,98412,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66925682227769,-34.6621856203853,98415,Led-240,0.8,0.999,1.0,0,0,100,100,25.0
-58.66923744265663,-34.66216573024779,98416,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.66925697927023,-34.662128037385735,98437,Led-240,0.8,0.996,1.0,0,0,100,100,25.0
-58.66925852214249,-34.66217262469307,98476,Led-150,0.8,0.975,1.0,1,0,100,100,25.0
-58.66925937972177,-34.66218535959206,98479,Led-240,0.8,1.0,1.0,1,0,100,100,25.0
-58.66926045994667,-34.66218935223632,98549,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.66923002633545,-34.662145098016666,98550,Led-150,0.8,0.969,1.0,0,0,100,100,25.0
-58.669313305849045,-34.66214822601387,98573,Led-240,0.8,0.99,1.0,0,0,100,100,25.0
-58.66923049927308,-34.66214575761271,98575,Led-240,0.8,0.98,1.0,0,0,100,100,25.0
-58.66924155460547,-34.66216993074337,98585,Led-240,0.8,0.992,1.0,0,0,100,100,25.0
